target,version,patch,code,state,class
Four Corners,1.43,,azconmut4c,arizona,border
Hoover Dam,1.43,,az_nv_hoover,arizona,border
I-10,1.45,,aznmi10sl,arizona,border
I-15,1.43,,az_nv_i15_sl,arizona,border
I-15,1.43,,az_ut_i15_sl,arizona,border
I-19,1.43,,mx_mexicoi19,arizona,border
US-163,1.57,0.46,azut_sl163,arizona,border

I-8 @ I-10,1.43,,az_i8i10,arizona,junction
I-8 @ SR 85,1.43,,az_i8az85,arizona,junction
I-10 @ I-17,1.43,,az_i10i17,arizona,junction
I-10 @ I-19,1.43,,az_i10i19,arizona,junction
I-10 @ US-60,1.43,,az_i10us60,arizona,junction
I-10 @ SR 77,1.43,,az_i10az77,arizona,junction
I-10 @ SR 90,1.43,,az_i10az90,arizona,junction
I-10 @ SR 303,1.43,,az_i10az303,arizona,junction
I-17 @ I-40,1.43,,az_i17i40,arizona,junction
I-17 @ SR 179,1.57,0.46,az_i17x179,arizona,junction
I-17 @ SR 260,1.43,,az_i17az260,arizona,junction
I-17 @ SR 303,1.43,,az_i17az303,arizona,junction
I-40 @ US-93,1.43,,az_i40us93e,arizona,junction
I-40 @ US-180,1.43,,az_i40us180w,arizona,junction
I-40 @ US-191,1.43,,az_i40us191,arizona,junction
I-40 @ SR 89,1.43,,az_i40az89,arizona,junction
1-40 @ Needle Mt. Rd.,1.53,0.16,az_needlerd,arizona,junction
US-60 @ US-180,1.57,0.46,az_us60x180,arizona,junction
US-60 @ SR 303,1.43,,az_us60az303,arizona,junction
US-89 @ US-89A,1.57,0.46,az_us89x89a,arizona,junction
US-89 @ US-160,1.43,,az_us89us160,arizona,junction
US-93 @ SR 68,1.57,0.46,az_us93x68,arizona,junction
US-160 @ US-191,1.43,,az_us160191,arizona,junction
US-160 @ SR 98,1.43,,az_us160az98,arizona,junction
US-191 @ SR 61,1.57,0.46,az_us191x61,arizona,junction
SR 89 @ SR 260,1.43,,az_az89az260,arizona,junction

# ARKANSAS ----------------------------------------------------------------------------------------
Altheimer,1.50,0.105,ar_altheimer,arkansas,city
Ashdown,1.50,0.78,ar_ashdown,arkansas,city
Bald Knob,1.50,0.78,ar_baldknob,arkansas,city
Blytheville,1.51,0.41,ar_blythevil,arkansas,city
Boles,1.50,0.78,ar_boles,arkansas,city
Conway,1.50,0.78,ar_conway,arkansas,city
Crossett,1.51,0.41,ar_crossett,arkansas,city
Daisy,1.51,0.41,ar_daisy,arkansas,city
De Queen,1.50,0.78,ar_dequeen,arkansas,city
El Dorado,1.51,0.41,ar_eldorado,arkansas,city
Fayetteville,1.51,0.41,ar_fayette,arkansas,city
Fort Smith,1.48,0.21,ar_ftsmith,arkansas,city
Hamburg,1.51,0.41,ar_hamburg,arkansas,city
Hardy,1.51,0.41,ar_hardy,arkansas,city
Harrison,1.50,0.78,ar_harrison,arkansas,city
Henderson,1.51,0.41,ar_henderson,arkansas,city
Hot Springs,1.50,0.78,ar_hotspgs,arkansas,city
Jonesboro,1.50,0.78,ar_jonesboro,arkansas,city
Junction City,1.51,0.41,ar_la_jctcit,arkansas,city
Lake Village,1.51,0.41,ar_lakevlg,arkansas,city
Little Rock,1.50,0.78,ar_littleroc,arkansas,city
Magnolia,1.51,0.41,ar_magnolia,arkansas,city
Moro Bay,1.51,0.41,ar_morobay,arkansas,city
Pine Bluff,1.50,0.78,ar_pinebluff,arkansas,city
Prescott,1.50,0.78,ar_prescott,arkansas,city
Russellville,1.50,0.78,ar_russellv,arkansas,city
Shearerville,1.50,0.78,ar_shearervi,arkansas,city
Sheridan,1.51,0.41,ar_sheridan,arkansas,city
Siloam Springs,1.51,0.41,ar_siloamspr,arkansas,city
Springdale,1.51,0.41,ar_springdal,arkansas,city
Texarkana,1.48,0.21,artx_texarka,arkansas,city
Y City,1.51,0.41,ar_ycity,arkansas,city

US-65,1.54,0.30,armosl65,arkansas,border
US-67,1.54,0.30,armosl67,arkansas,border
US-70,1.50,0.78,ar_ok_sl70,arkansas,border
US-412,1.54,0.30,armosl412,arkansas,border

I-30 @ I-40,1.50,0.78,ar_i30xi40,arkansas,junction
I-30 @ US-70,1.51,0.41,ar_i30xus70,arkansas,junction
I-40 @ I-49,1.51,0.41,ar_i40x49,arkansas,junction
I-40 @ I-55,1.50,0.78,ar_i40xi55,arkansas,junction
I-40 @ US-67,1.50,0.78,ar_i40xus67,arkansas,junction
I-55 @ I-555,1.51,0.41,ar_i55555,arkansas,junction
I-530 @ US-65,1.50,0.78,ar_i530xus65,arkansas,junction
I-530 @ US-167,1.51,0.41,ar_i530us167,arkansas,junction
US-49 @ US-79,1.51,0.41,ar_us49x79,arkansas,junction
US-63 @ US-67,1.51,0.41,ar_us63x67,arkansas,junction
US-63 @ US-82,1.51,0.41,ar_us63x82,arkansas,junction
US-63 @ US-167,1.51,0.41,ar_us63x167,arkansas,junction
US-63 @ US-412,1.51,0.41,ar_us63x412,arkansas,junction
US-63 @ AR 7,1.57,0.46,ar_us63xla7,arkansas,junction
US-65 @ US-165,1.51,0.41,ar_us65x165,arkansas,junction
US-65 @ US-412,1.51,0.41,ar_us65x412 ar_us65x412w,arkansas,junction
US-67 @ US-412,1.51,0.44,ar_us67x412,arkansas,junction
US-70 @ US-71,1.51,0.41,ar_us70x71,arkansas,junction
US-70 @ US-270,1.51,0.41,ar_us70x270,arkansas,junction
US-79 @ AR 17,1.50,0.78,ar_us79xar17,arkansas,junction
US-167 @ AR 335,1.51,0.41,ar_167x335,arkansas,junction

# BRITISH COLUMBIA ----------------------------------------------------------------------------------------
100 Mile House,1.61,700.26,bc_100mile,britishcolumbia,city
Abbotsford,1.59,0.317,bc_abbotsfor,britishcolumbia,city
Alexis Creek,1.60,0.71,bc_alexisck,britishcolumbia,city
Bella Coola,1.60,0.71,bc_bellac,britishcolumbia,city
Burns Lake,1.59,0.317,bc_burnslk,britishcolumbia,city
Cache Creek,1.61,700.26,bc_cacheck,britishcolumbia,city
Clinton,1.61,700.26,bc_clinton,britishcolumbia,city
Cranbrook,1.59,0.317,bc_cranbrook,britishcolumbia,city
Creston,1.59,0.317,bc_creston,britishcolumbia,city
Duffey Lake,1.61,700.26,bc_duffeylk,britishcolumbia,city
Elko,1.61,700.26,bc_elko,britishcolumbia,city
Fernie,1.59,0.317,bc_fernie,britishcolumbia,city
Fraser Lake,1.59,0.317,bc_fraslake,britishcolumbia,city
Grand Forks,1.43,,bc_grandfork,britishcolumbia,city
Hagensborg,1.60,0.71,bc_hagensb,britishcolumbia,city
Hope,1.59,0.317,bc_hope,britishcolumbia,city
Houston,1.59,0.317,bc_houston,britishcolumbia,city
Kamloops,1.61,700.26,bc_kamloops,britishcolumbia,city
Kelowna,1.60,0.71,bc_kelowna,britishcolumbia,city
Kitwanga,1.59,0.317,bc_kitwanga,britishcolumbia,city
Lillooet,1.61,700.26,bc_lillooet,britishcolumbia,city
New Hazelton,1.59,0.317,bc_newhazlet,britishcolumbia,city
Nimpo Lake,1.60,0.71,bc_nimpo,britishcolumbia,city
Osoyoos,1.59,0.317,bc_osoyoos,britishcolumbia,city
Penticton,1.43,,bc_penticton,britishcolumbia,city
Prince George,1.59,0.317,bc_pgeorge,britishcolumbia,city
Princeton,1.59,0.317,bc_princeton,britishcolumbia,city
Prince Rupert,1.59,0.317,bc_prrupert,britishcolumbia,city
Salmo,1.59,0.317,bc_salmo,britishcolumbia,city
Smithers,1.59,0.317,bc_smithers,britishcolumbia,city
Squamish,1.61,700.26,bc_squamish,britishcolumbia,city
Sparwood,1.59,0.317,bc_sparwood,britishcolumbia,city
Terrace,1.59,0.317,bc_terrace,britishcolumbia,city
Vancouver,1.43,,bc_vancouver,britishcolumbia,city
Whistler,1.61,700.26,bc_whistler,britishcolumbia,city
Williams Lake,1.60,0.71,bc_williamsl,britishcolumbia,city
West Kelowna,1.60,0.71,bc_wkelowna,britishcolumbia,city

US-93,1.59,0.317,can_usa_93,britishcolumbia,border
US-95,1.44,,id_us95can,britishcolumbia,border

Hwy 97 @ Hwy 99,1.61,700.26,bc_hw97x99,britishcolumbia,junction

# CALIFORNIA ----------------------------------------------------------------------------------------
Alturas,1.43,,ca_alturas,california,city
Amboy,1.51,0.41,ca_amboy,california,city
Bakersfield,1.50,0.78,ca_bakersfld,california,city
Barstow,1.51,0.41,ca_barstow,california,city
Beaumont,1.51,0.41,ca_beaumont,california,city
Benton,1.49,0.44,ca_benton,california,city
Bishop,1.49,0.44,ca_bishop,california,city
Blythe,1.43,,ca_blythe,california,city
Borrego Springs,1.53,0.16,ca_borrego,california,city
Brawley,1.53,0.16,ca_brawley,california,city
Burney,1.43,,ca_burney,california,city
Buttonwillow,1.50,0.78,ca_buttonw,california,city
Cambria,1.50,0.78,ca_cambria,california,city
Canby,1.43,,ca_canby,california,city
Carlsbad,1.51,0.41,ca_carlsbad,california,city
Carmel,1.50,0.78,ca_carmel,california,city
Castaic,1.51,0.67,ca_castaic,california,city
California Valley,1.50,0.78,ca_cavalley,california,city
Corning,1.43,,ca_corning,california,city
Crescent City,1.43,,ca_crescity,california,city
Crestwood Summit,1.53,0.16,ca_crestw,california,city
Desert Center,1.51,0.41,ca_desertctr,california,city
Desert Lake,1.51,0.53,ca_dsrtlk,california,city
El Centro,1.43,,ca_elcentro,california,city
Eureka,1.43,,ca_eureka,california,city
Five Points,1.50,0.78,ca_fivepts,california,city
Fresno,1.47,,ca_fresno,california,city
Golden Gate Bridge,1.50,0.78,ca_ggbridge,california,city
Gilroy,1.49,0.78,ca_gilroy,california,city
Hatfield,1.43,,ca_hatfield,california,city
Hiouchi,1.43,,ca_hiouchi,california,city
Hopland,1.44,,ca_hopland,california,city
Huron,1.50,0.78,ca_huron,california,city
Independence,1.49,0.44,ca_independe,california,city
Indian Wells,1.50,0.78,ca_indianwel,california,city
Indio,1.51,0.41,ca_indio,california,city
Janesville,1.43,,ca_janesvill,california,city
Kerman,1.50,0.78,ca_kerman,california,city
Lassen Park,1.43,,ca_lassenpk,california,city
Laytonville,1.43,,ca_laytonvil,california,city
Lee Vining,1.49,0.44,ca_leevining,california,city
Lone Pine,1.50,0.78,ca_lonepine,california,city
Los Angeles,1.43,,ca_losangele,california,city
Ludlow,1.51,0.41,ca_ludlow,california,city
Malibu,1.53,0.16,ca_malibu,california,city
Meyers,1.49,0.44,ca_meyers,california,city
Modesto,1.49,0.44,ca_modesto,california,city
Mojave,1.51,0.56,ca_mojave,california,city
Monterey,1.50,0.78,ca_monterey,california,city
Moss Beach,1.50,0.78,ca_mossbeach,california,city
Mount Shasta,1.43,,ca_mtshasta,california,city
Napa,1.44,,ca_napa,california,city
Needles,1.43,,ca_needles,california,city
Novato,1.44,,ca_novato,california,city
Oakland,1.44,,ca_oakland,california,city
Olancha,1.50,0.78,ca_olancha,california,city
Old Station,1.43,,ca_oldstatio,california,city
Oxnard,1.53,0.16,ca_oxnard ca_oxn101,california,city
Pacifica,1.50,0.78,ca_pacifica,california,city
Panamint Springs,1.50,0.78,ca_panamints,california,city
Pearsonville,1.50,0.78,ca_pearsonv,california,city
Petaluma,1.44,,ca_petaluma,california,city
Placerville,1.49,0.44,ca_placervil,california,city
Redding,1.43,,ca_redding,california,city
Sacramento,1.43,,ca_sacrament,california,city
Salinas,1.49,0.78,ca_salinas,california,city
San Diego,1.43,,ca_san_diego ca_sndi8i15,california,city
San Lucas,1.50,0.78,ca_san_lucas,california,city
San Bernardino,1.51,0.41,ca_sanbern,california,city
San Francisco,1.43,,ca_sanfran ca_sf101nth,california,city
San Jose,1.49,0.78,ca_sanjose1 ca_sanjose_2,california,city
San Luis Obispo,1.50,0.78,ca_sanluis,california,city
San Rafael,1.44,,ca_sanrafael,california,city
Santa Barbara,1.53,0.16,ca_santabarb,california,city
Santa Clarita,1.51,0.67,ca_santaclar,california,city
Santa Cruz,1.49,0.78,ca_santacruz,california,city
Santa Margarita,1.50,0.78,ca_santamarg,california,city
Santa Maria,1.53,0.16,ca_santamari,california,city
Santa Monica,1.53,0.16,ca_santamon,california,city
Silverfork,1.50,0.78,ca_silverfor,california,city
Sonoma,1.44,,ca_sonoma,california,city
South Lake Tahoe,1.49,0.44,ca_sthlktaho,california,city
Stockton,1.44,,ca_stockton,california,city
Susanville,1.43,,ca_susanvill,california,city
Tioga Pass,1.49,0.44,ca_tiogapass,california,city
Truckee,1.44,,ca_truckee,california,city
Ukiah,1.43,,ca_ukiah,california,city
Vallejo,1.44,,ca_vallejo,california,city
Ventura,1.51,0.67,ca_ventura,california,city
Vidal Junction,1.43,,ca_vidaljct,california,city
Watsonville,1.50,0.78,ca_watsonvil,california,city
Weaverville,1.43,,ca_weavervil,california,city
Weed,1.43,,ca_weed,california,city
Willow Creek,1.43,,ca_willowck,california,city

I-80,1.44,,canv_sl80,california,border
US-97,1.43,,ca_or_sl_97,california,border
US-101,1.43,,ca_or_sl_101,california,border
US-199,1.43,,ca_or_sl_199,california,border
US-395,1.43,,ca_or_sl_395,california,border
US-395,1.43,,ca_nv_sl395n,california,border
US-395,1.47,,ca_nv_sl395s,california,border

US-101 @ SR 58,1.50,0.78,ca_101x58,california,junction
US-395 @ SR 120,1.49,0.44,ca_395x120n ca_395x120s,california,junction
US-395 @ SR 89,1.49,0.44,ca_395x89,california,junction
US-405 @ US-101,1.53,0.16,ca_405x101,california,junction
I-5 @ I-80,1.43,,ca_i5xi80,california,junction
I-5 @ I-405,1.51,0.41,ca_i5i405,california,junction
I-5 @ I-710,1.53,0.16,ca_i5xi710,california,junction
I-5 @ US-50,1.44,,ca_i5xus50,california,junction
I-5 @ US-101,1.53,0.16,ca_i5x101,california,junction
I-5 @ SR 58,1.53,0.16,ca_i5xca58n ca_i5xca58,california,junction
I-5 @ SR 99,1.51,0.60,ca_i5xca99,california,junction
I-5 @ SR 152,1.50,0.78,ca_i5ca152,california,junction
I-5 @ SR 198,1.50,0.78,ca_i5ca198,california,junction
I-5 @ SR 269,1.50,0.78,ca_i5ca269,california,junction
I-8 @ I-15,1.51,0.41,ca_i8xi15,california,junction
I-10 @ US-95,1.43,,ca_i10us95,california,junction
I-15 @ SR 58,1.51,0.41,ca_i1558,california,junction
I-15 @ SR 76,1.51,0.41,ca_i15x76,california,junction
I-580 @ I-880,1.50,0.78,ca_i580x880,california,junction
I-880 @ US-101,1.50,0.78,ca_i880x101,california,junction
US-6 @ US-395,1.49,0.44,ca_us6x395,california,junction
US-101 @ SR 198,1.50,0.78,ca_us101c198,california,junction
US-101 @ US-199,1.43,,caus199us101,california,junction
US-101 @ SR 299,1.43,,ca_u101xc299,california,junction
US-395 @ SR 58,1.50,0.78,ca_us395ca58,california,junction
US-395 @ SR 36,1.43,,caus395xca36,california,junction
SR 36 @ SR 44,1.43,,ca_36x44,california,junction
SR 78 @ SR 86,1.53,0.16,ca_ca78x86,california,junction
SR 99 @ SR 120,1.50,0.78,ca_ca99ca120,california,junction
SR 99 @ SR 152a,1.50,0.78,ca_99x152a,california,junction
SR 136 @ SR 190,1.50,0.78,ca_136x190,california,junction

# COLORADO ----------------------------------------------------------------------------------------
Alamosa,1.43,,co_alamosa,colorado,city
Bristol,1.49,0.44,co_bristol,colorado,city
Burlington,1.43,,co_burlingto,colorado,city
Cheyenne Wells,1.43,,co_cheyennew,colorado,city
Colorado Springs,1.43,,co_colospgs,colorado,city
Cortez,1.43,,co_cortez,colorado,city
Craig,1.43,,co_craig,colorado,city
Denver,1.43,,co_denver,colorado,city
Dinosaur,1.43,,co_dinosaur,colorado,city
Divide,1.43,,co_divide,colorado,city
Durango,1.43,,co_durango,colorado,city
Eads,1.43,,co_eads,colorado,city
Eagle-Vail,1.43,,co_eaglevail,colorado,city
Estes Park,1.43,,co_estespk,colorado,city
Fairplay,1.43,,co_fairplay,colorado,city
Fort Collins,1.43,,co_ftcollins,colorado,city
Glenwood Springs,1.43,,co_glenwood,colorado,city
Granada,1.43,,co_granada,colorado,city
Granby,1.43,,co_granby,colorado,city
Grand Junction,1.43,,co_grandjct,colorado,city
Grand Lake,1.43,,co_grandlake,colorado,city
Johnson Village,1.43,,co_johnsonvi,colorado,city
Julesburg,1.43,,co_julesburg,colorado,city
Kit Carson,1.43,,co_kitcarson,colorado,city
La Junta,1.43,,co_lajunta,colorado,city
Lamar,1.43,,co_lamar,colorado,city
Las Animas,1.43,,co_lasanimas,colorado,city
Limon,1.43,,co_limon,colorado,city
Loma,1.43,,co_loma,colorado,city
Loveland,1.43,,co_loveland,colorado,city
Maybell,1.43,,co_maybell,colorado,city
Monarch Pass,1.43,,co_monarchpa,colorado,city
Monte Vista,1.43,,co_montevist,colorado,city
Montrose,1.43,,co_montrose,colorado,city
Ouray,1.43,,co_ouray,colorado,city
Pagosa Springs,1.43,,co_pagosaspg,colorado,city
Parkdale,1.43,,co_parkdale,colorado,city
Poncha Springs,1.43,,co_ponchaspg,colorado,city
Pueblo,1.43,,co_pueblo,colorado,city
Rangely,1.43,,co_rangely,colorado,city
Red Cliff,1.43,,co_redcliff,colorado,city
Saguache,1.43,,co_saguache,colorado,city
Sapinero,1.43,,co_sapinero,colorado,city
Sheridan Lake,1.43,,co_sheridanl,colorado,city
Springfield,1.43,,co_springfie,colorado,city
Steamboat Springs,1.43,,co_steamboat,colorado,city
Sterling,1.43,,co_sterling,colorado,city
Trinidad,1.43,,co_trinidad,colorado,city
Walsenburg,1.43,,co_walsenbur,colorado,city
Wiggins,1.43,,co_wiggins,colorado,city
Winter Park,1.43,,co_winterpk,colorado,city
Wray,1.43,,co_wray,colorado,city
Four Corners,1.43,,azconmut4c,colorado,city

Four Corners,1.43,,azconmut4c,colorado,border
I-25,1.47,,cowysli25,colorado,border
I-70,1.43,,co_ut_sl_i70,colorado,border
US-50 & US-400,1.49,0.44,coks_slus50,colorado,border
US-287,1.47,,cooksl287,colorado,border
CO-13 @ WY-789,1.43,,cowysl789,colorado,border

I-25 @ I-70,1.43,,co_i25xi70,colorado,junction
I-25 @ I-76,1.43,,co_i25xi76,colorado,junction
I-25 @ US-34,1.43,,co_i25xus34,colorado,junction
I-70 @ US-24,1.43,,co_i70xi24,colorado,junction
I-70 @ I-76,1.43,,co_i70xi76,colorado,junction
I-70 @ US-40,1.43,,co_i70xus40,colorado,junction
US-50 @ US-287,1.43,,co_us50xus28,colorado,junction

# IDAHO ----------------------------------------------------------------------------------------
Arco,1.43,,id_arco,idaho,city
Bellevue,1.43,,id_bellevue,idaho,city
Boise,1.43,,id_boise,idaho,city
Bonners Ferry,1.44,,id_bonnersfe,idaho,city
Bruneau,1.43,,id_bruneau,idaho,city
Cambridge,1.43,,id_cambridge,idaho,city
Carey,1.43,,id_carey,idaho,city
Challis,1.43,,id_challis,idaho,city
Coeur d'Alene,1.43,,id_coeurdale,idaho,city
Craters of the Moon,1.43,,id_craters,idaho,city
Fruitland,1.43,,id_fruitland,idaho,city
Grangeville,1.43,,id_grangevil,idaho,city
Horseshoe Bend,1.43,,id_horseshoe,idaho,city
Idaho Falls,1.43,,id_idahofall id_idahof26,idaho,city
Island Park,1.46,,id_islandpk,idaho,city
Kamiah,1.43,,id_kamiah,idaho,city
Kooskia,1.43,,id_kooskia,idaho,city
Lava Hot Springs,1.43,,id_lavasprs,idaho,city
Lewiston,1.43,,id_lewiston,idaho,city
Mackay,1.43,,id_mackay,idaho,city
McCall,1.43,,id_mccall,idaho,city
McCammon,1.43,,id_mccammon,idaho,city
Mountain Home,1.43,,id_mountainh,idaho,city
Moyie Springs,1.44,,id_moyiespr,idaho,city
Nampa,1.43,,id_nampa,idaho,city
New Meadows,1.43,,id_newmeadow,idaho,city
Pocatello,1.43,,id_pocatello,idaho,city
Salmon,1.43,,id_salmon,idaho,city
Sandpoint,1.43,,id_sandpoint,idaho,city
Shoshone,1.43,,id_shoshoni,idaho,city
Stanley,1.43,,id_stanley,idaho,city
Sun Valley,1.43,,id_sunvalley,idaho,city
Twin Falls,1.43,,id_twinfalls,idaho,city
Montpelier,1.43,,or_montpel,idaho,city
Ovid,1.43,,or_ovid,idaho,city
Payette,1.43,,or_payette,idaho,city

US-26,1.43,,id_wy_sl_26,idaho,border
US-93,1.44,,idmtus93sl,idaho,border
US-95,1.44,,id_us95can,idaho,border

I-15 @ SH-33,1.44,,id_i15id33,idaho,junction
I-84 @ I-86,1.43,,id_i84xi86,idaho,junction
US-2 @ US-95,1.44,,id_us2us95,idaho,junction

# ILLINOIS ----------------------------------------------------------------------------------------
Beardstown,1.57,0.46,il_beardstwn,illinois,city
Bloomington,1.58,0.305,il_bloomngtn,illinois,city
Cairo,1.54,0.30,il_cai,illinois,city
Carterville,1.57,0.46,il_cartervil,illinois,city
Champaign,1.57,0.46,il_champaign,illinois,city
Chenoa,1.58,0.305,il_chenoa,illinois,city
Chicago,1.57,0.46,il_chicago,illinois,city
Effingham,1.57,0.46,il_effingham,illinois,city
El Paso,1.58,0.305,il_elpaso,illinois,city
Galena,1.58,0.305,il_galena,illinois,city
Gilman,1.58,0.305,il_gilman,illinois,city
Grayville,1.57,0.46,il_grayville,illinois,city
Joliet,1.59,0.317,il_joliet,illinois,city
Little America,1.58,0.305,il_lilameric,illinois,city
Macomb,1.57,0.46,il_macomb,illinois,city
Marion,1.57,0.46,il_marion,illinois,city
Marshall,1.58,0.305,il_marshall,illinois,city
Moline-Rock Island,1.58,0.305,il_molrckisl,illinois,city
Monmouth,1.57,0.46,il_monmouth,illinois,city
Mt Vernon,1.57,0.46,il_mtvernon,illinois,city
Norris City,1.57,0.46,il_norriscty,illinois,city
Olive Branch,1.58,0.305,il_olivbrnch,illinois,city
Peoria,1.58,0.305,il_peoria,illinois,city
Quincy,1.54,0.30,il_quincy,illinois,city
Rockford,1.58,0.305,il_rockford,illinois,city
Rushville,1.57,0.46,il_rushville,illinois,city
Springfield,1.54,0.30,il_springfie,illinois,city

I-39 @ I-80,1.58,0.305,il_i80xi39,illinois,junction
I-64 @ IL 4,1.57,0.46,il_illinois4,illinois,junction
I-72 @ US-67,1.57,0.46,il_i72xus67,illinois,junction
I-74 @ I-80,1.58,0.305,il_is74,illinois,junction
I-74 @ US-34,1.58,0.305,il_i74xus34,illinois,junction
I-80 @ I-180,1.58,0.305,il_is180,illinois,junction
IL 1 @ IL 13,1.57,0.46,il_il1xil13,illinois,junction

# IOWA ----------------------------------------------------------------------------------------
Algona,1.54,0.53,ia_algona,iowa,city
Ankeny,1.55,0.90,ia_ankeny,iowa,city
Atlantic,1.54,0.30,ia_atlantic,iowa,city
Auburn,1.54,0.30,ia_auburn,iowa,city
Audubon,1.54,0.30,ia_audubon,iowa,city
Bettendorf,1.55,0.90,ia_bettendrf,iowa,city
Braddyville,1.54,0.30,ia_braddyvil,iowa,city
Burlington,1.54,0.30,ia_burlingto,iowa,city
Cedar Rapids,1.54,0.53,ia_cedrap,iowa,city
Clear Lake,1.54,0.53,ia_clearlk,iowa,city
Council Bluffs,1.54,0.30,ia_council,iowa,city
Davenport,1.54,0.102,ia_davenport,iowa,city
Des Moines,1.54,0.30,ia_desmoines,iowa,city
Dubuque,1.54,0.53,ia_dubuque,iowa,city
Dyersville,1.54,0.53,ia_dyersvill,iowa,city
Fort Dodge,1.54,0.30,ia_fortdodge,iowa,city
Glenwood,1.55,0.90,ia_glenwood,iowa,city
Iowa City,1.55,0.90,ia_iowa_city,iowa,city
Lamoni,1.55,0.90,ia_lamoni,iowa,city
Le Mars,1.54,0.60,ia_lemars,iowa,city
Manson,1.55,0.90,ia_manson,iowa,city
Mason City,1.54,0.45,ia_masoncity,iowa,city
New Sharon,1.55,0.90,ia_newshazza,iowa,city
Osceola,1.55,0.90,ia_osceola,iowa,city
Oskaloosa,1.55,0.90,ia_oskaloosa,iowa,city
Ottumwa,1.54,0.30,ia_ottumwa,iowa,city
Postville,1.54,0.45,ia_postville,iowa,city
Sheldon,1.54,0.53,ia_sheldon,iowa,city
Sioux City,1.54,0.30,ia_siouxcity,iowa,city
Spencer,1.54,0.30,ia_spencer,iowa,city
Traer,1.55,0.90,ia_traer,iowa,city
Wapello,1.55,0.90,ia_wapello,iowa,city
Waterloo,1.54,0.45,ia_waterloo,iowa,city
Welton,1.54,0.102,ia_welton,iowa,city

US-61,1.55,0.90,ia_mo_61_sl,iowa,border

I-29 @ I-680,1.54,0.34,ia_i29x680,iowa,junction
I-29 @ US-34,1.54,0.30,ia_i29xus34,iowa,junction
I-35 @ I-80 (east),1.55,0.90,ia_i35xi80e,iowa,junction
I-35 @ I-80 (west),1.54,0.30,ia_i35xi80,iowa,junction
I-35 @ US-20,1.54,0.55,ia_i35xus20,iowa,junction
I-80 @ US-71,1.54,0.30,ia_i80x71,iowa,junction
I-80 @ US-63,1.55,0.90,ia_i80xus63,iowa,junction
US-20 @ I-380,1.55,0.90,ia_us20xi380,iowa,junction
